,0_back_negface,0_back_neutface,0_back_place,0_back_posface,2_back_negface,2_back_neutface,2_back_place,2_back_posface,cue,dummy,drift_1,drift_2,drift_3,constant,trial_type,idx
108.80000000000001,9.265462214118812e-09,0.0,0.0,0.0,0.0,0.64297132483036,0.0,0.0,0.11635050301308365,0.0,-0.1314363143631438,-0.06650949978334517,0.017551484215570262,1.0,0_back_negface,136
109.60000000000001,0.0005073321856092223,0.0,0.0,0.0,0.0,0.5314795462522445,0.0,0.0,0.24356338808736314,0.0,-0.12872628726287283,-0.06721454748422864,0.017280356115962216,1.0,0_back_negface,137
110.4,0.010592784707838662,0.0,0.0,0.0,0.0,0.4028055054560996,0.0,0.0,0.39052441100033125,0.0,-0.1260162601626018,-0.0679049066913438,0.01700355563054933,1.0,0_back_negface,138
111.2,0.053420502887028556,0.0,0.0,0.0,0.0,0.27552207596637407,0.0,0.0,0.5097476136399539,0.0,-0.1233062330623308,-0.06858057740469048,0.016721202177980003,1.0,0_back_negface,139
112.0,0.1420417021452767,0.0,0.0,0.0,0.0,0.162783391660471,0.0,0.0,0.5665677959841189,0.0,-0.12059620596205983,-0.06924155962426881,0.016433415176902992,1.0,0_back_negface,140
112.80000000000001,0.26019879735948326,0.0,0.0,0.0,0.0,0.0710454647922338,0.0,0.0,0.5555721471336448,0.0,-0.11788617886178876,-0.06988785335007869,0.016140314045966553,1.0,0_back_negface,141
113.60000000000001,0.38781610748343764,0.0,0.0,0.0,0.0,0.0014690542676479628,0.0,0.0,0.49344385277988,0.0,-0.1151761517615178,-0.07051945858212016,0.015842018203819377,1.0,0_back_negface,142
114.4,0.5137838230568297,0.0,0.0,0.0,0.0,-0.04797804444822202,0.0,0.0,0.4042523611633279,0.0,-0.11246612466124678,-0.07113637532039324,0.01553864706910997,1.0,0_back_negface,143
115.2,0.6226738798309566,0.0,0.0,0.0,0.0,-0.08063498461930123,0.0,0.0,0.30874892236917184,0.0,-0.10975609756097582,-0.07173860356489789,0.015230320060486732,1.0,0_back_negface,144
116.0,0.707060074018537,0.0,0.0,0.0,0.0,-0.09990563445669494,0.0,0.0,0.22029710349985882,0.0,-0.1070460704607048,-0.07232614331563414,0.014917156596598355,1.0,0_back_negface,145
116.80000000000001,0.7730045832913306,0.0,0.0,0.0,0.0,-0.10896991310564405,0.0,0.0,0.1452423118903459,0.0,-0.10433604336043378,-0.07289899457260202,0.014599276096093322,1.0,0_back_negface,146
117.60000000000001,0.8197527301158213,0.0,0.0,0.0,0.0,-0.11047877190425984,0.0,0.0,0.0851032778763643,0.0,-0.10162601626016277,-0.07345715733580147,0.01427679797762011,1.0,0_back_negface,147
118.4,0.8465190833698288,0.0,0.0,0.0,0.0,-0.10647307959220306,0.0,0.0,0.03883919905954613,0.0,-0.0989159891598918,-0.07400063160523246,0.013949841659827211,1.0,0_back_negface,148
119.2,0.8629728702110954,0.0,0.0,0.0,0.0,-0.09874437728122504,0.0,0.0,0.004460686448627217,0.0,-0.09620596205962079,-0.07452941738089511,0.013618526561363295,1.0,0_back_negface,149
120.0,0.8708370254372862,0.0,0.0,0.0,0.0,-0.08873937147845157,0.0,0.0,-0.02009851452587555,0.0,-0.09349593495934982,-0.07504351466278933,0.013282972100876714,1.0,0_back_negface,150
120.80000000000001,0.867346803337509,0.0,0.0,0.0,0.0,-0.07753158271847511,0.0,0.0,-0.036650901768745574,0.0,-0.09078590785907875,-0.07554292345091515,0.012943297697016076,1.0,0_back_negface,151
121.60000000000001,0.8605152647382143,0.0,0.0,0.0,0.0,-0.06605716575144903,0.0,0.0,-0.04671973768874897,0.0,-0.08807588075880779,-0.07602764374527257,0.012599622768429956,1.0,0_back_negface,152
122.4,0.8533678183929366,0.0,0.0,0.0,0.0,-0.05502103310372791,0.0,0.0,-0.051610888718042786,0.0,-0.08536585365853677,-0.07649767554586157,0.012252066733766727,1.0,0_back_negface,153
123.2,0.8415035242027075,0.0,0.0,0.0,0.0,-0.04483369006842564,0.0,0.0,-0.05248637793160031,0.0,-0.08265582655826575,-0.07695301885268216,0.011900749011675059,1.0,0_back_negface,154
124.0,0.8301721592818485,0.0,0.0,0.0,0.0,-0.03578739024061767,0.0,0.0,-0.05040076501059145,0.0,-0.07994579945799479,-0.07739367366573435,0.011545789020803401,1.0,0_back_negface,155
124.80000000000001,0.8220712545737666,0.0,0.0,0.0,0.0,-0.02804242201044977,0.0,0.0,-0.046301236884907504,0.0,-0.07723577235772372,-0.07781963998501815,0.011187306179800321,1.0,0_back_negface,156
125.60000000000001,0.8108591583289305,0.0,0.0,0.0,0.0,-0.021571990532357737,0.0,0.0,-0.041008358890427095,0.0,-0.07452574525745276,-0.07823091781053351,0.01082541990731424,1.0,0_back_negface,157
126.4,0.7999005435795432,0.0,0.0,0.0,0.0,-0.016292660432466584,0.0,0.0,-0.035195256903297764,0.0,-0.07181571815718174,-0.0786275071422805,0.010460249621993864,1.0,0_back_negface,158
127.2,0.7933367831541468,0.0,0.0,0.0,0.0,-0.012113042568635844,0.0,0.0,-0.029376827918745584,0.0,-0.06910569105691078,-0.07900940798025904,0.010091914742487579,1.0,0_back_negface,159
128.0,0.784952767550104,0.0,0.0,0.0,0.0,-0.008870478292730117,0.0,0.0,-0.023913184540763893,0.0,-0.06639566395663976,-0.07937662032446921,0.009720534687443924,1.0,0_back_negface,160
128.8,0.7766270380093947,0.0,0.0,0.0,0.0,-0.006373843388460356,0.0,0.0,-0.019025924474211347,0.0,-0.06368563685636874,-0.07972914417491098,0.00934622887551148,1.0,0_back_negface,161
