,NoDenoise,CompCor,DeepCor,subject
0,0.22152204597066083,0.23686915405007028,0.31425811373285406,sub-01
1,0.15925994697665688,0.16730328385767734,0.2125901186490865,sub-02
2,0.061638593492271965,0.06659775972741849,0.11673742203269648,sub-03
3,0.11707940563074463,0.128568359804745,0.18024714075663065,sub-04
4,0.20212900883172447,0.21449861798927797,0.19898684150732882,sub-05
5,0.130275645692978,0.15451837995667633,0.20551507497652455,sub-09
6,0.06903252703823531,0.07791410717183972,0.10090299502394103,sub-10
7,0.09038290020449116,0.09129271138762388,0.06402385988583591,sub-14
8,0.22985547966054937,0.2534598105008626,0.36041695042512334,sub-15
9,0.2124457655210258,0.23179252073992085,0.26878620959541344,sub-16
10,0.20742643059310498,0.23439246003576483,0.2940832951488481,sub-17
11,0.01736287540062143,0.03806134906005076,0.11272427693563222,sub-18
12,0.18361909388433262,0.19413661090096626,0.27471042476627067,sub-19
13,0.1584708667918973,0.21765441541683728,0.13406558510599775,sub-20
